iter	Passed	Remaining
0	38	38841
1	81	40869
2	122	40616
3	162	40383
4	197	39304
5	232	38557
6	269	38219
7	308	38194
8	343	37851
9	378	37492
10	414	37275
11	454	37383
12	494	37568
13	535	37696
14	578	37983
15	612	37693
16	651	37652
17	692	37775
18	730	37729
19	764	37441
20	797	37192
21	833	37038
22	867	36853
23	911	37063
24	945	36869
25	978	36650
26	1010	36407
27	1045	36306
28	1088	36449
29	1140	36871
30	1174	36727
31	1207	36535
32	1246	36518
33	1283	36464
34	1321	36447
35	1356	36323
36	1389	36165
37	1424	36073
38	1470	36245
39	1513	36329
40	1548	36208
41	1582	36098
42	1619	36054
43	1657	36023
44	1691	35898
45	1729	35873
46	1764	35777
47	1805	35799
48	1840	35719
49	1880	35721
50	1915	35642
51	1953	35611
52	1989	35545
53	2028	35537
54	2061	35420
55	2096	35337
56	2131	35259
57	2162	35122
58	2194	35006
59	2226	34887
60	2264	34857
61	2299	34790
62	2337	34764
63	2371	34681
64	2410	34679
65	2447	34641
66	2531	35249
67	2594	35565
68	2659	35888
69	2709	36003
70	2744	35908
71	2778	35811
72	2814	35744
73	2848	35649
74	2881	35539
75	2915	35442
76	2948	35345
77	2983	35261
78	3020	35213
79	3054	35131
80	3086	35015
81	3117	34906
82	3159	34910
83	3193	34819
84	3229	34769
85	3267	34723
86	3306	34703
87	3341	34634
88	3376	34560
89	3409	34472
90	3458	34548
91	3509	34636
92	3562	34740
93	3611	34809
94	3658	34852
95	3697	34821
96	3741	34832
97	3782	34815
98	3814	34711
99	3848	34635
100	3881	34547
101	3913	34453
102	3949	34392
103	3984	34332
104	4018	34249
105	4051	34168
106	4084	34092
107	4124	34061
108	4158	33995
109	4191	33909
110	4224	33831
111	4255	33736
112	4284	33633
113	4317	33557
114	4348	33467
115	4380	33379
116	4417	33336
117	4451	33270
118	4483	33196
119	4521	33159
120	4562	33143
121	4604	33139
122	4647	33138
123	4683	33084
124	4722	33060
125	4760	33023
126	4802	33012
127	4841	32985
128	4875	32921
129	4904	32823
130	4937	32754
131	4969	32679
132	5002	32612
133	5037	32557
134	5068	32478
135	5102	32416
136	5134	32343
137	5165	32263
138	5197	32195
139	5232	32140
140	5265	32078
141	5303	32043
142	5334	31971
143	5367	31908
144	5402	31854
145	5433	31780
146	5463	31705
147	5497	31648
148	5528	31577
149	5561	31516
150	5595	31459
151	5632	31424
152	5661	31341
153	5693	31278
154	5723	31200
155	5756	31143
156	5789	31087
157	5823	31032
158	5856	30975
159	5890	30923
160	5923	30870
161	5956	30812
162	5987	30743
163	6021	30695
164	6055	30645
165	6096	30628
166	6136	30608
167	6185	30630
168	6222	30598
169	6259	30563
170	6302	30552
171	6345	30544
172	6383	30516
173	6414	30450
174	6448	30402
175	6480	30341
176	6510	30274
177	6542	30212
178	6575	30160
179	6613	30127
180	6647	30078
181	6678	30017
182	6711	29964
183	6741	29897
184	6774	29844
185	6811	29809
186	6842	29746
187	6873	29687
188	6909	29649
189	6940	29589
190	6975	29545
191	7008	29494
192	7047	29469
193	7079	29410
194	7110	29354
195	7140	29290
196	7172	29234
197	7205	29184
198	7236	29126
199	7266	29065
200	7299	29016
201	7333	28969
202	7364	28914
203	7397	28863
204	7430	28816
205	7473	28806
206	7511	28774
207	7544	28726
208	7576	28675
209	7609	28627
210	7642	28578
211	7679	28542
212	7716	28512
213	7748	28459
214	7780	28407
215	7814	28362
216	7846	28311
217	7878	28261
218	7911	28213
219	7943	28161
220	7978	28124
221	8011	28074
222	8044	28029
223	8076	27979
224	8108	27929
225	8144	27892
226	8177	27846
227	8211	27802
228	8248	27772
229	8284	27734
230	8318	27691
231	8350	27643
232	8390	27621
233	8428	27590
234	8465	27556
235	8502	27524
236	8541	27500
237	8576	27459
238	8617	27439
239	8656	27413
240	8705	27417
241	8750	27407
242	8796	27403
243	8833	27367
244	8875	27350
245	8916	27328
246	8956	27304
247	8993	27271
248	9028	27230
249	9070	27210
250	9110	27185
251	9151	27164
252	9193	27145
253	9231	27114
254	9274	27097
255	9316	27076
256	9361	27064
257	9399	27031
258	9439	27006
259	9477	26975
260	9523	26966
261	9566	26946
262	9608	26926
263	9648	26897
264	9690	26877
265	9734	26860
266	9778	26844
267	9821	26825
268	9860	26795
269	9901	26769
270	9940	26741
271	9979	26710
272	10020	26684
273	10060	26656
274	10104	26639
275	10145	26614
276	10192	26603
277	10232	26575
278	10271	26543
279	10312	26516
280	10356	26498
281	10395	26468
282	10434	26435
283	10471	26399
284	10510	26368
285	10551	26342
286	10596	26324
287	10630	26282
288	10672	26256
289	10713	26229
290	10828	26383
291	10885	26394
292	10928	26370
293	10969	26341
294	11009	26311
295	11047	26275
296	11084	26237
297	11124	26205
298	11165	26178
299	11206	26148
300	11249	26123
301	11292	26100
302	11334	26073
303	11376	26046
304	11415	26013
305	11454	25978
306	11495	25949
307	11531	25907
308	11565	25863
309	11602	25825
310	11633	25774
311	11666	25725
312	11700	25680
313	11739	25646
314	11775	25607
315	11808	25560
316	11839	25508
317	11870	25457
318	11907	25420
319	11942	25377
320	11979	25339
321	12012	25292
322	12050	25258
323	12086	25218
324	12128	25189
325	12165	25151
326	12207	25124
327	12247	25092
328	12293	25073
329	12332	25038
330	12372	25006
331	12410	24970
332	12451	24939
333	12490	24905
334	12522	24858
335	12557	24815
336	12592	24774
337	12623	24724
338	12655	24676
339	12694	24642
340	12728	24598
341	12761	24552
342	12793	24505
343	12829	24465
344	12873	24440
345	12910	24402
346	12945	24361
347	12981	24320
348	13019	24286
349	13057	24250
350	13089	24202
351	13123	24158
352	13163	24127
353	13195	24080
354	13229	24035
355	13264	23995
356	13303	23960
357	13340	23924
358	13378	23887
359	13412	23843
360	13450	23809
361	13489	23774
362	13523	23730
363	13562	23696
364	13596	23654
365	13634	23617
366	13668	23575
367	13701	23530
368	13738	23493
369	13775	23455
370	13812	23418
371	13847	23377
372	13884	23340
373	13919	23298
374	13959	23266
375	13999	23233
376	14035	23193
377	14066	23146
378	14100	23103
379	14132	23057
380	14171	23024
381	14212	22993
382	14244	22948
383	14278	22905
384	14309	22857
385	14339	22809
386	14377	22774
387	14411	22732
388	14446	22690
389	14479	22647
390	14511	22602
391	14552	22571
392	14593	22539
393	14640	22517
394	14685	22492
395	14721	22454
396	14767	22429
397	14803	22391
398	14847	22364
399	14883	22325
400	14915	22279
401	14945	22232
402	14980	22191
403	15016	22152
404	15051	22112
405	15091	22079
406	15127	22040
407	15162	22000
408	15197	21960
409	15238	21928
410	15275	21890
411	15312	21853
412	15347	21812
413	15379	21769
414	15411	21724
415	15443	21679
416	15480	21643
417	15516	21604
418	15554	21568
419	15591	21530
420	15628	21493
421	15665	21456
422	15713	21433
423	15748	21393
424	15787	21359
425	15822	21319
426	15856	21278
427	15890	21236
428	15935	21210
429	15969	21169
430	16004	21128
431	16036	21085
432	16073	21047
433	16110	21010
434	16150	20977
435	16188	20940
436	16224	20903
437	16262	20866
438	16300	20830
439	16334	20788
440	16372	20753
441	16414	20722
442	16449	20682
443	16488	20648
444	16521	20605
445	16562	20573
446	16598	20534
447	16638	20501
448	16671	20459
449	16706	20419
450	16745	20383
451	16779	20343
452	16817	20306
453	16860	20277
454	16895	20237
455	16928	20195
456	16964	20156
457	17004	20122
458	17044	20089
459	17081	20051
460	17119	20016
461	17158	19981
462	17198	19947
463	17232	19906
464	17265	19865
465	17315	19842
466	17355	19807
467	17392	19770
468	17429	19733
469	17463	19692
470	17498	19653
471	17529	19609
472	17567	19572
473	17616	19548
474	17678	19539
475	17765	19557
476	17834	19554
477	17894	19541
478	17960	19535
479	18007	19507
480	18044	19470
481	18087	19438
482	18138	19415
483	18177	19379
484	18214	19341
485	18254	19305
486	18286	19263
487	18320	19221
488	18361	19187
489	18401	19152
490	18437	19113
491	18474	19075
492	18508	19033
493	18546	18997
494	18579	18954
495	18611	18911
496	18646	18872
497	18680	18830
498	18714	18789
499	18751	18751
500	18807	18732
501	18868	18718
502	18930	18704
503	18963	18662
504	19004	18628
505	19050	18598
506	19082	18555
507	19122	18520
508	19161	18483
509	19198	18445
510	19233	18405
511	19271	18367
512	19309	18330
513	19345	18291
514	19380	18251
515	19415	18211
516	19452	18173
517	19492	18137
518	19534	18104
519	19611	18102
520	19684	18097
521	19746	18082
522	19800	18059
523	19835	18018
524	19868	17975
525	19909	17941
526	19946	17902
527	19980	17861
528	20013	17819
529	20046	17777
530	20084	17739
531	20122	17701
532	20160	17664
533	20198	17626
534	20232	17585
535	20266	17544
536	20300	17502
537	20339	17466
538	20375	17426
539	20409	17385
540	20445	17346
541	20480	17306
542	20513	17264
543	20556	17230
544	20589	17189
545	20622	17147
546	20656	17106
547	20690	17065
548	20724	17024
549	20762	16987
550	20805	16953
551	20840	16913
552	20875	16874
553	20908	16832
554	20942	16791
555	20981	16755
556	21021	16718
557	21056	16678
558	21091	16639
559	21128	16600
560	21162	16560
561	21200	16522
562	21236	16483
563	21273	16445
564	21309	16406
565	21344	16366
566	21381	16328
567	21414	16287
568	21448	16246
569	21479	16204
570	21512	16162
571	21546	16122
572	21581	16082
573	21617	16043
574	21660	16009
575	21697	15972
576	21733	15932
577	21766	15891
578	21801	15852
579	21834	15810
580	21865	15768
581	21909	15735
582	21941	15694
583	21980	15657
584	22017	15619
585	22053	15580
586	22084	15538
587	22119	15498
588	22153	15458
589	22185	15416
590	22224	15380
591	22260	15341
592	22296	15302
593	22330	15262
594	22366	15223
595	22401	15185
596	22436	15145
597	22467	15103
598	22504	15065
599	22548	15032
600	22584	14993
601	22615	14951
602	22646	14910
603	22679	14869
604	22710	14827
605	22743	14786
606	22776	14746
607	22812	14707
608	22846	14668
609	22880	14628
610	22917	14590
611	22952	14551
612	22987	14512
613	23025	14475
614	23060	14436
615	23092	14395
616	23124	14354
617	23164	14318
618	23197	14278
619	23234	14240
620	23299	14219
621	23352	14191
622	23386	14151
623	23420	14112
624	23476	14085
625	23509	14045
626	23544	14006
627	23615	13989
628	23649	13948
629	23683	13909
630	23733	13878
631	23793	13854
632	23825	13813
633	23874	13782
634	23925	13752
635	23984	13726
636	24033	13695
637	24098	13673
638	24132	13633
639	24194	13609
640	24264	13589
641	24315	13559
642	24357	13523
643	24407	13492
644	24449	13456
645	24496	13423
646	24538	13387
647	24578	13351
648	24625	13318
649	24667	13282
650	24702	13242
651	24734	13202
652	24769	13162
653	24808	13125
654	24846	13087
655	24889	13051
656	24924	13012
657	24970	12978
658	25011	12942
659	25052	12905
660	25093	12869
661	25138	12835
662	25179	12798
663	25212	12757
664	25243	12716
665	25316	12696
666	25407	12684
667	25482	12665
668	25552	12642
669	25615	12616
670	25678	12590
671	25729	12558
672	25774	12523
673	25821	12489
674	25861	12451
675	25901	12414
676	25967	12389
677	26027	12361
678	26108	12343
679	26148	12305
680	26201	12273
681	26259	12244
682	26306	12209
683	26364	12180
684	26478	12176
685	26570	12162
686	26658	12145
687	26723	12118
688	26787	12091
689	27041	12149
690	27091	12114
691	27122	12072
692	27164	12033
693	27204	11995
694	27244	11956
695	27289	11919
696	27325	11879
697	27360	11837
698	27392	11795
699	27430	11756
700	27467	11715
701	27509	11677
702	27553	11640
703	27588	11599
704	27621	11557
705	27654	11516
706	27690	11475
707	27725	11434
708	27764	11395
709	27798	11354
710	27832	11313
711	27864	11271
712	27898	11229
713	27932	11188
714	27965	11147
715	27997	11105
716	28031	11064
717	28064	11022
718	28097	10981
719	28136	10941
720	28181	10905
721	28216	10864
722	28247	10822
723	28280	10780
724	28323	10743
725	28364	10704
726	28406	10667
727	28443	10627
728	28484	10588
729	28525	10550
730	28566	10512
731	28610	10475
732	28649	10435
733	28688	10396
734	28726	10357
735	28760	10316
736	28797	10276
737	28828	10234
738	28862	10193
739	28905	10156
740	28938	10114
741	28974	10074
742	29013	10035
743	29046	9994
744	29081	9954
745	29112	9912
746	29148	9872
747	29194	9835
748	29233	9796
749	29266	9755
750	29296	9713
751	29328	9672
752	29359	9630
753	29396	9590
754	29429	9550
755	29469	9511
756	29501	9469
757	29535	9429
758	29567	9388
759	29599	9347
760	29629	9305
761	29661	9264
762	29695	9223
763	29733	9184
764	29762	9142
765	29799	9103
766	29834	9063
767	29865	9021
768	29899	8981
769	29935	8941
770	29967	8900
771	30000	8860
772	30032	8819
773	30063	8778
774	30099	8738
775	30134	8698
776	30166	8657
777	30202	8618
778	30235	8577
779	30266	8536
780	30299	8496
781	30330	8455
782	30366	8415
783	30403	8376
784	30437	8336
785	30469	8295
786	30510	8257
787	30545	8217
788	30582	8178
789	30625	8141
790	30659	8100
791	30692	8060
792	30725	8020
793	30763	7981
794	30806	7943
795	30844	7904
796	30878	7864
797	30917	7826
798	30955	7787
799	30995	7748
800	31030	7709
801	31063	7669
802	31096	7629
803	31131	7589
804	31165	7549
805	31200	7509
806	31238	7470
807	31273	7431
808	31314	7393
809	31355	7354
810	31391	7315
811	31428	7276
812	31473	7239
813	31512	7200
814	31550	7161
815	31588	7122
816	31624	7083
817	31674	7047
818	31718	7009
819	31757	6971
820	31800	6933
821	31841	6895
822	31888	6858
823	31930	6820
824	31967	6781
825	32006	6742
826	32048	6704
827	32088	6665
828	32128	6627
829	32167	6588
830	32210	6550
831	32248	6511
832	32293	6474
833	32336	6436
834	32376	6397
835	32416	6359
836	32457	6320
837	32499	6282
838	32537	6243
839	32582	6206
840	32624	6167
841	32664	6129
842	32707	6091
843	32747	6052
844	32787	6014
845	32830	5976
846	32871	5937
847	32912	5899
848	32949	5860
849	32990	5821
850	33033	5783
851	33073	5745
852	33115	5706
853	33153	5667
854	33198	5630
855	33242	5592
856	33282	5553
857	33323	5515
858	33367	5477
859	33411	5439
860	33454	5400
861	33497	5362
862	33539	5324
863	33577	5285
864	33616	5246
865	33658	5208
866	33702	5169
867	33739	5130
868	33773	5091
869	33807	5051
870	33840	5012
871	33880	4973
872	33923	4934
873	33958	4895
874	33997	4856
875	34041	4818
876	34078	4779
877	34120	4741
878	34159	4702
879	34197	4663
880	34235	4624
